added,channel_count,total_capacity,tor_nodes,clearnet_nodes,unannounced_nodes,clearnet_tor_nodes
1649376000000,81614,319743841421,11252,2410,4410,1048
1649462400000,81307,319489167183,11271,2408,4150,1049
1649548800000,81093,319924420333,11297,2409,3919,1050
1649635200000,81328,320973469197,11323,2412,3920,1053
1649721600000,81364,321135792645,11327,2412,3921,1053
1649808000000,81442,321975094618,11341,2412,3917,1049
1649894400000,81438,323008640272,11361,2412,3915,1047
1649980800000,81431,322424319413,11371,2409,3914,1045
1650067200000,81370,322521464684,11392,2408,3914,1048
1650153600000,81304,322645519558,11411,2409,3853,1052
1650240000000,81347,322672558076,11422,2408,3854,1051
1650326400000,81302,323661346069,11428,2387,3859,1050
1650412800000,81302,323826816608,11431,2385,3860,1052
1650499200000,81433,324191675760,11460,2385,3863,1056
1650585600000,81633,325427810684,11494,2384,3866,1057
1650672000000,81630,325842707901,11498,2383,3868,1057
1650758400000,81782,327712596217,11523,2387,3840,1064
1650844800000,82073,328517594353,11543,2387,3836,1065
1650931200000,82278,329810795472,11551,2391,3805,1066
1651017600000,82300,330416265932,11556,2393,3803,1068
1651104000000,82645,332867426527,11582,2395,3756,1072
1651190400000,82643,333377658985,11587,2395,3736,1074
1651276800000,82434,333013462629,11587,2395,3586,1075
1651363200000,81329,333866700147,11599,2396,2433,1075
1651449600000,80794,334706643942,11622,2393,1640,1076
1651536000000,80067,335073095027,11619,2393,971,1076
1651622400000,79857,330322307998,11567,2389,973,1078
1651708800000,79417,328195045382,11443,2391,973,1078
1651795200000,79180,327130127860,11448,2394,972,1079
1651881600000,79214,328054138066,11395,2401,970,1083
1651968000000,79193,330095224953,11400,2398,969,1080
1652054400000,79501,330800299698,11416,2399,971,1080
1652140800000,79399,330221587045,11421,2397,966,1077
1652227200000,79434,330183540572,11397,2399,951,1078
1652313600000,79349,330860786752,11393,2400,940,1078
1652400000000,79184,330224005650,11392,2399,938,1080
1652486400000,78992,329971190125,11390,2397,941,1079
1652572800000,78894,329857243297,11390,2397,940,1080
1652659200000,78833,329825028245,11405,2396,940,1079
1652745600000,78921,330479761656,11428,2397,941,1082
1652832000000,78914,330770642939,11426,2395,937,1082
1652918400000,78716,329760214816,11414,2393,937,1082
1653004800000,78536,329384714321,11407,2395,935,1084
1653091200000,78978,332220869962,11437,2401,939,1090
1653177600000,79192,333706911903,11466,2402,936,1088
1653264000000,79383,334678555655,11492,2401,936,1089
1653350400000,79604,336166293836,11507,2405,937,1092
1653436800000,79563,336921291716,11498,2403,936,1089
1653523200000,79745,338591702852,11505,2402,936,1089
1653609600000,79809,339130652551,11507,2401,932,1088
1653696000000,79911,339692159584,11511,2400,932,1090
1653782400000,79939,339934754046,11512,2402,933,1087
1653868800000,79897,340283949667,11520,2400,933,1088
1653955200000,79599,338744526354,11528,2398,933,1088
1654041600000,78995,335931561956,11497,2393,933,1085
1654128000000,79122,336650176937,11500,2392,935,1084
1654214400000,79050,336433336566,11490,2392,934,1084
1654300800000,78886,336001144036,11475,2392,934,1083
1654387200000,78585,335286753306,11453,2386,933,1082
1654473600000,78270,333695589082,11428,2385,932,1080
1654560000000,78006,333161803033,11399,2385,927,1079
1654646400000,77703,331947796888,11359,2384,925,1078
1654732800000,77404,330489102802,11320,2379,922,1076
1654819200000,77028,329173895938,11283,2373,920,1069
1654905600000,76483,326825914615,11240,2368,916,1067
1654992000000,75988,324881805183,11181,2364,911,1065
1655078400000,74508,320584191808,10915,2313,887,1059
1661817600000,81753,461233591527,11440,2308,979,1113
1661904000000,81845,461612764886,11452,2311,967,1122
1661990400000,81265,461366975603,11360,2297,962,1119
1662076800000,81590,463830496016,11426,2304,974,1122
1662163200000,81750,464860801514,11437,2303,975,1131
1662249600000,82012,467813078174,11461,2306,963,1136
1662336000000,81964,467849145303,11441,2304,953,1132
1662422400000,81820,468370021226,11442,2304,959,1136
1662508800000,81911,470969139943,11437,2303,967,1137
1662595200000,81888,470974910182,11438,2299,969,1146
1662681600000,81691,469136829482,11440,2299,976,1146
1662768000000,81464,472991164602,11409,2300,953,1146
1662854400000,81580,474378872864,11421,2299,962,1146
1662940800000,81605,474637385757,11419,2299,967,1149
1663027200000,81364,474713123955,11368,2287,960,1157
1663113600000,81586,477240674772,11407,2293,963,1162
1663200000000,81620,478324253873,11408,2291,969,1163
1663286400000,81642,479007440718,11410,2292,970,1162
1663372800000,81438,477547917081,11390,2289,970,1163
1663459200000,81439,478490920610,11397,2286,977,1166
1663545600000,81489,478104705354,11412,2287,969,1168
1663632000000,81444,478524853240,11379,2291,968,1160
1663718400000,81624,481509988780,11403,2289,973,1164
1663804800000,81659,480897984025,11400,2289,970,1169
1663891200000,81570,481302205862,11410,2291,978,1166
1663977600000,81512,482842108402,11380,2290,969,1172
1664064000000,81541,484134314523,11389,2293,972,1175
1664150400000,81560,486367568554,11396,2292,982,1178
1664236800000,81264,486291629730,11344,2290,959,1174
1664323200000,81413,487248302596,11386,2294,971,1178
1664409600000,81462,489834380478,11389,2294,972,1180
1664496000000,81545,492394345393,11392,2295,977,1185
